tag,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
concreto,0,0,0,3,0,0,1,2,2,0,0,4,2,0,0,6,2,9,1194,582,4,1,13,17,0,4,0,2,0,109,185,60,5,0,245,0,18,11,0,0,4,0,1,6,2,7,94,7,19,25,153,37,52,33,49,236,102,29,206,94,194,173,27,2,78,133,75,136,5,12,0,1,0,9,0,0,0,4,1,10,0,0,59,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
concreto aparente,0,0,0,46,0,0,0,2,2,0,0,0,1,0,0,1,13,0,748,161,0,0,0,1,0,0,0,0,0,0,111,1,0,0,70,1,14,0,0,0,0,0,0,0,3,2,104,0,0,12,30,34,2,0,5,221,85,30,185,70,126,90,7,0,52,60,93,28,7,9,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,17,11,0,0,0,0,17,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
público,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,719,590,0,0,0,0,0,0,0,0,0,348,141,155,0,0,377,0,4,0,0,0,0,0,0,0,0,2,0,0,0,5,1,2,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pilar,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,380,124,1,0,2,1,0,1,1,0,0,8,72,3,0,0,63,0,6,0,0,0,0,0,0,0,6,7,56,0,4,8,57,34,31,73,39,294,77,5,54,36,117,52,17,9,130,45,15,96,0,4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
fachada,0,0,0,21,0,0,2,0,0,0,0,1,2,0,0,2,0,0,212,57,0,0,0,0,0,0,0,2,0,0,58,0,1,0,23,0,3,1,0,0,0,0,0,0,4,4,44,0,2,8,59,19,65,22,59,301,91,8,71,57,155,150,19,5,88,76,109,70,4,2,0,1,1,1,0,1,1,4,1,12,1,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vidro,0,0,0,27,0,0,5,1,0,0,0,4,7,0,0,1,0,0,856,232,0,1,2,1,0,3,0,2,0,1,148,1,0,0,106,0,19,2,0,0,2,0,1,0,0,1,30,0,3,3,50,1,40,13,17,97,18,0,0,2,1,0,3,2,6,9,3,75,7,2,0,3,0,1,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ferro,0,0,0,0,0,0,1,3,1,0,0,1,6,0,0,7,0,0,958,226,0,0,0,0,0,0,0,0,0,56,157,16,1,0,129,0,19,0,0,0,0,0,0,0,3,0,6,1,12,1,1,3,0,11,0,14,3,0,0,0,2,0,1,0,15,3,2,15,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetação,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,274,461,0,0,0,0,0,0,0,0,0,334,76,154,0,0,296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
residência,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,313,94,7,0,25,44,0,20,1,5,5,8,64,21,3,0,43,0,8,9,0,0,10,0,0,6,6,9,0,0,1,0,5,1,13,10,34,88,43,2,159,17,22,19,15,0,61,110,156,117,5,1,0,1,0,11,0,0,0,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvenaria,0,0,0,2,1,0,4,3,0,0,0,2,10,0,1,6,0,2,701,376,0,0,0,0,0,0,0,0,0,18,154,3,0,0,85,0,16,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
