photo_id,tag
735,"vidro, ferro, concreto, pedra, coluna, pórtico, beiral, esquadria, caixilho, janela, ornamento, arco, degrau, escada, mureta, público, educacional, faculdade, igreja, rua, prédio, edifício, concreto aparente, calçada, alvenaria"
736,"calçada, vidro, ferro, cimento, alvenaria, concreto, concreto aparente, pedra, escultura, coluna, pórtico, beiral, esquadria, caixilho, janela, ornamento, arco, degrau, escada, público, educacional, faculdade, edifício, prédio, igreja"
737,"rua, vidro, concreto, concreto aparente, estrutura, pilar, laje, vão, guarda-corpo, muro, público, transporte, poste"
738,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, azulejo, habitação, residência, casa, rua"
739,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, porta, degrau, habitação, residência, casa"
740,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, habitação, residência, casa, poste, rua"
741,"madeira, cerâmica, apoio, cobertura, telha, telha cerâmica, telhado, beiral, janela, porta, paralelepípedo, habitação, residência, casa, rua"
742,"madeira, cerâmica, apoio, cobertura, telha, telha cerâmica, telhado, beiral, janela, porta, paralelepípedo, habitação, residência, casa, rua"
743,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, janela, habitação, residência, casa"
744,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, janela, habitação, residência, casa"
745,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, azulejo, habitação, residência, casa, calçada, poste, rua"
746,"bloco de concreto, água, vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, muro, janela, habitação, residência, casa"
747,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada"
748,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
749,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
750,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, mureta, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
751,"vidro, alvenaria, madeira, cerâmica, apoio, telha, telha cerâmica, cobertura, telhado, janela, porta, habitação, casa, residência, rua"
752,"vidro, alvenaria, madeira, cerâmica, apoio, telha, telha cerâmica, cobertura, telhado, janela, porta, habitação, casa, residência, rua"
753,"prédio, concreto, concreto aparente, passarela, escada, patamar, abertura, guarda-corpo, clube, esportivo, cultural, edifício"
754,"prédio, concreto, concreto aparente, rampa, escada, passarela, patamar, abertura, guarda-corpo, clube, esportivo, cultural, edifício"
755,"água, vidro, cimento, cerâmica, alvenaria, ferro, concreto, concreto aparente, pedra, banco, mobiliário, telha, telha cerâmica, telhado, cobertura, beiral, tijolo de barro, esquadria, caixilho, janela, degrau, escada, turístico, edifício, prédio"
756,"água, vidro, pedra, apoio, pilar, cobertura, telhado, beiral, elemento vazado, parede, muro, habitação, alvenaria, fachada, cerâmica, madeira, casa, telha, telha cerâmica, residência"
757,"telha, fachada, vidro, pedra, apoio, pilar, cobertura, telhado, beiral, elemento vazado, parede, muro, mureta, habitação, cerâmica, casa, telha cerâmica, alvenaria, madeira, residência"
758,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, apoio, viga, pilar, cobertura, telha, telha cerâmica, telhado, beiral, fachada, tijolo de barro, elemento vazado, parede, mureta, esquadria, janela, porta, habitação, casa, residência, concreto pintado"
759,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mobiliário, apoio, viga, pilar, cobertura, telha, telha cerâmica, telhado, beiral, fachada, tijolo de barro, elemento vazado, parede, muro, esquadria, janela, brise, terraço, habitação, casa, residência, concreto pintado"
760,"água, vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mobiliário, estrutura, apoio, viga, pilar, fachada, tijolo de barro, parede, muro, esquadria, caixilho, janela, brise, habitação, casa, residência"
761,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mesa, luminária, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, porta, brise, habitação, casa, residência"
762,"água, vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mesa, luminária, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, porta, brise, habitação, casa, residência"
763,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mesa, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, porta, habitação, casa, residência"
764,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, banco, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, porta, habitação, casa, residência"
765,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, mesa, luminária, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, janela, porta, habitação, casa, residência"
766,"água, vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, mesa, luminária, mobiliário, estrutura, pilar, tijolo de barro, parede, muro, esquadria, caixilho, janela, porta, brise, habitação, casa, residência"
767,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, laje, cobertura, telha, telha cerâmica, telhado, tijolo de barro, pano de vidro, habitação, casa, residência"
768,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, laje, cobertura, telha, telha cerâmica, telhado, beiral, tijolo de barro, pano de vidro, platibanda, habitação, casa, residência, jardim"
769,"vidro, madeira, alvenaria, concreto, concreto aparente, laje, cobertura, pano de vidro, platibanda, porta, varanda, habitação, casa, residência"
770,"vidro, madeira, cerâmica, alvenaria, concreto, concreto aparente, laje, tijolo de barro, pano de vidro, caixilho, habitação, casa, residência"
771,"vidro, madeira, ferro, alvenaria, concreto, concreto aparente, mesa, mobiliário, luminária, pilar, pano de vidro, habitação, casa, residência"
772,"vidro, madeira, ferro, alvenaria, cerâmica, concreto, concreto aparente, mobiliário, luminária, pilar, viga, estrutura, tijolo de barro, pano de vidro, porta, degrau, escada, habitação, casa, residência"
773,"vidro, madeira, cerâmica, ferro, alvenaria, concreto, concreto aparente, mobiliário, luminária, pilar, viga, estrutura, tijolo de barro, pano de vidro, porta, degrau, escada, habitação, casa, residência"
774,"vidro, madeira, cerâmica, ferro, alvenaria, concreto, concreto aparente, mesa, mobiliário, pilar, viga, estrutura, tijolo de barro, pano de vidro, habitação, casa, residência"
775,"vidro, alvenaria, cerâmica, concreto, concreto aparente, tijolo de barro, habitação, casa, residência"
776,"vidro, madeira, cerâmica, ferro, alvenaria, concreto, concreto aparente, telha, telha cerâmica, telhado, tijolo de barro, fachada, parede, parede curva, muro, esquadria, caixilho, janela, janela basculante, casa, calçada, rua"
777,"vidro, madeira, cerâmica, ferro, alvenaria, concreto, concreto aparente, telha, telha cerâmica, telhado, tijolo de barro, fachada, parede, parede curva, muro, esquadria, caixilho, janela, janela basculante, casa"
778,"vidro, madeira, ferro, alvenaria, concreto, concreto aparente, parede, parede curva, muro, esquadria, caixilho, janela, janela basculante, casa"
779,"vidro, madeira, ferro, cerâmica, alvenaria, concreto, concreto aparente, mesa, mobiliário, viga, laje, tijolo de barro, parede, pano de vidro, muro, degrau, corrimão, escada, casa"
780,"vidro, madeira, ferro, cerâmica, alvenaria, concreto, concreto aparente, mesa, mobiliário, viga, laje, tijolo de barro, parede, pano de vidro, muro, escada, casa, degrau"
781,"vidro, madeira, ferro, cerâmica, alvenaria, concreto, concreto aparente, tijolo de barro, parede, pano de vidro, muro, mureta, degrau, escada, casa"
782,"vidro, madeira, ferro, cerâmica, alvenaria, concreto, concreto aparente, mesa, mobiliário, escultura, luminária, estrutura, viga, laje, cobertura, tijolo de barro, parede curva, guarda-corpo, degrau, corrimão, escada, casa"
783,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, mesa, mobiliário, escultura, luminária, estrutura, viga, laje, tijolo de barro, parede curva, esquadria, janela, degrau, corrimão, escada, casa"
784,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, mobiliário, luminária, tijolo de barro, pano de vidro, casa"
785,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, mobiliário, tijolo de barro, pano de vidro, muro, esquadria, caixilho, janela, janela basculante, casa"
786,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, mobiliário, luminária, tijolo de barro, parede curva, esquadria, caixilho, janela, janela basculante, casa, madeira"
787,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, mobiliário, escultura, estrutura, viga, cobertura, tijolo de barro, pano de vidro, muro, esquadria, caixilho, janela, porta, corrimão, escada, casa"
788,"vidro, ferro, cerâmica, alvenaria, concreto, concreto aparente, escultura, estrutura, viga, cobertura, tijolo de barro, pano de vidro, muro, esquadria, caixilho, janela, janela basculante, casa"
